,price
33451,829
26689,16558
45777,1721
3064,3312
43692,1444
40653,1167
12263,5218
17231,6915
50145,542
32678,803
38797,1052
36848,480
16764,6701
35176,895
22978,631
29551,441
42011,1281
10733,4853
38132,1018
16055,6431
26115,15512
48444,1993
1803,3054
46649,1806
1106,2914
33259,827
14791,5972
49253,2104
50308,2264
13687,603
19145,7938
5181,3777
37912,1010
323,2801
51683,2421
47854,533
12235,5207
18272,7445
42416,1325
31699,773
46589,1795
37115,975
52233,2507
30393,732
34426,868
51223,2365
15035,6058
27816,655
24393,12712
28055,663
20840,9105
11601,5050
48704,2031
33436,829
35356,900
2744,3249
19850,8442
950,2889
36789,959
4062,571
3510,3404
36667,956
42573,1338
50799,2321
52103,2487
33118,820
23859,12031
38188,487
40451,1153
43439,1431
46531,1789
1068,558
21369,9526
41018,1197
6524,4072
40576,1158
27100,17414
28135,666
31532,373
37837,487
53590,2723
46347,1777
30475,734
14478,5861
46640,1804
14217,5773
17496,7056
32609,802
10202,4744
12000,5154
30252,727
52955,2614
44453,1607
19175,7957
21122,9326
10491,4801
22269,10357
1635,3017
51011,2345
11184,4959
8407,4405
47957,1934
17378,6980
48345,1980
31648,772
27596,18653
7569,4256
44917,1641
44909,1640
32050,786
22279,10371
1318,2959
48289,1974
14273,5795
802,2862
32200,453
11711,5072
29867,445
8337,4398
34691,877
29522,706
24692,13098
32351,792
43844,393
772,2859
25418,14245
39625,1094
8677,4459
4385,571
27859,658
38930,1057
43294,1415
38928,1057
9942,4702
40995,1196
5040,573
38281,1024
50551,2290
5959,3951
34006,852
23562,11640
16072,6440
12051,5159
28709,681
29940,717
37484,485
47577,1886
48711,2033
27078,17360
38195,488
7402,4227
42300,1314
36780,959
23661,633
10970,4914
24865,13369
3944,3504
48926,2058
7305,4208
13676,5602
47507,530
8358,583
16694,611
7563,4255
36882,964
43110,1400
22712,10781
38295,1024
33898,847
32423,798
13726,5607
3231,3353
41822,505
30390,732
12347,597
16594,6652
25665,14638
46771,1814
200,2777
21131,9333
43697,1445
37747,1003
29775,710
15363,6169
7329,4212
17351,612
10936,4903
38577,1041
52641,2567
38062,1015
28227,432
36058,929
49881,2197
3755,3457
47001,1831
21505,9651
15033,6056
22348,10424
53644,2729
46288,1769
41030,1200
20649,8971
4296,3593
30114,722
40929,1190
4750,3689
10840,4876
11509,5028
34429,868
45181,524
11062,4927
32547,459
51525,2398
23992,633
21428,9571
9254,4564
37059,972
20989,625
52410,2535
4556,3648
9531,4620
